linearSVC	7660087	10648252	13965528	17421734	20975698	39224640	179584459	328014916	580003820	
RadialSvm	8226802	10333642	13446045	16618927	19678482	35573360	156700378	288086713	518224280	
GaussianNB	1891856	1777643	1668373	1747417	1643202	1641428	1644580	1645284	1645551	
GMM	1724700	1710633	1688814	1673653	1658250	1630772	1623649	1624754	1624074	
DecisionTree	391612	662615	1009497	1104279	2725644	6052900	34820964	57874055	101701381	
DBN	5706941	5715933	5707555	5705934	5699107	5704620	5756042	5773075	5796556	
